CC(=O)NC(CCC(=O)N)C(=O)NC(CC1=CC=CC=C1)C(=O)NC(CCCN=C(N)N)C(=O)C2=NC3=CC=CC=C3S2,3.9
C1=CC=C2C=C(C=CC2=C1)CN3C4=C(C=C(C=C4)C(=O)N)C(=O)C3=O,370.0
CC(C)CC(C(=O)NC(CC1CCCNC1=O)C(=O)COC(=O)C2=CN=CC=C2)NC(=O)C3=CC4=C(N3)C=CC=C4OC,4.0
CC(C)(C)C(C(=O)N1CC(CC1C(=O)NC(CC2CCNC2=O)C#N)C(F)(F)F)NC(=O)C(F)(F)F,4.0
CC1(C2C1C(N(C2)C(=O)C(C(C)(C)CO)NC(=O)C(F)(F)F)C(=O)NC(CC3CC(=O)NC3=O)C#N)C,4.0
CC1=CC=C(C=C1)CC(=O)NC(C(=O)N2CC3C(C2C(=O)NC(CC4CCNC4=O)C#N)C3(C)C)C(C)(C)C,4.0
CC1=CC(=NO1)C(=O)NC(CC2CCCCC2)C(=O)NN(CCC(=O)N)C(=O)CCl,4.0
CC(C)CC(C(=O)NN(CCC(=O)N)C(=O)C(F)Cl)NC(=O)C1=CC2=C(N1)C=CC=C2OC,4.0
CC1=C(C(=NC=C1)C)C(=O)OCC(=O)C(CC2CCNC2=O)NC(=O)C(CC(C)C)NC(=O)C3=CC4=C(N3)C=CC=C4OC,4.29
CC(C)CC(C(=O)NC(CC1CCNC1=O)C(=O)COC(=O)C2=CC=CC=N2)NC(=O)C3=CC4=C(N3)C=CC=C4OC,4.43
C1CCC(CC1)CC(C(=O)NC(CC2CCCNC2=O)C(=O)C(=O)NCC3=CC=CC=C3)NC(=O)C4=NC5=CC=CC=C5N=C4,5.0
CC(C)(C)CC(C(=O)NC(CC1CCNC1=O)C#N)NC(=O)C2=CC3=C(C=CC(=C3N2)F)OC,5.0
CC1(C2C1C(N(C2)C(=O)C(C(C)(C)C)NC(=O)NC)C(=O)NC(CC3CCNC3=O)C#N)C,5.0
CC(C)CC(C(=O)NN(CCC(=O)N)C(=O)CCl)NC(=O)C=CC1=C(C=C(C=C1)Cl)F,5.0
CC(C)CC(C(=O)NN(CCC(=O)N)C(=O)C(F)Cl)NC(=O)C1=CC2=CC=CC=C2N1,5.0
CC(C)CC(C(=O)NN(CCC(=O)N)C(=O)CCl)NC(=O)C1=NC2=CC=CC=C2N1,5.0
C1CCC(CC1)CC(C(=O)NN(CCC(=O)N)C(=O)C(F)Cl)NC(=O)C2=CC3=CC=CC=C3N2,5.0
C1=CC=C(C=C1)CC(C(=O)NC(CCCN=C(N)N)C(=O)C2=NC3=CC=CC=C3S2)NC(=O)C(CCC(=O)O)NC(=O)C(CCCN=C(N)N)N,5.2
CC(C)CC(C(=O)NC(CC1CCNC1=O)C(=O)COC(=O)C2=CC=NN2C)NC(=O)C3=CC4=C(N3)C=CC=C4OC,5.25
C1=CC=C2C(=C1)C=C(O2)C(=O)OC3=CC(=CN=C3)Cl,170.0
CC1=C(C(=NC(=N1)C2CCOCC2)C)C(=O)OCC(=O)C(CC3CCNC3=O)NC(=O)C(CC(C)C)NC(=O)C4=CC5=C(N4)C=CC=C5OC,5.5
CC1=C(C(=NC(=N1)C)C)C(=O)OCC(=O)C(CC2CCNC2=O)NC(=O)C(CC(C)C)NC(=O)C3=CC4=C(N3)C=CC=C4OC,5.89
CC1(C2C1C(N(C2)C(=O)C(CC3CCC3)NC(=O)C(F)(F)F)C(=O)NC(CC4CCNC4=O)C#N)C,6.0
C1CCC(C1)CC(C(=O)NN(CCC(=O)N)C(=O)CCl)NC(=O)OCC2=CC=CC=C2,6.0
CC(C)CC(C(=O)NC(CC1CCNC1=O)C(=O)COC(=O)C2CCN(CC2)C)NC(=O)C3=CC4=C(N3)C=CC=C4OC,6.13
CC(C)(C)CC(C(=O)NC(CC1CCNC1=O)C(=O)C(=O)NC2CC2)NC(=O)C=CC3=C(C=C(C=C3)Cl)Cl,6.31
CC(C)(C)CC(C(=O)NC(CC1CCNC1=O)C(=O)C(=O)N)NC(=O)C=CC2=C(C=C(C=C2)Cl)F,6.31
CC(C)CC(C(=O)NC(CC1CCCNC1=O)C(=O)COC(=O)C2=C(C=CC=C2Cl)Cl)NC(=O)C3=CC4=C(N3)C=CC=C4OC,6.4
C1CC2CN(C(C2C1)C(=O)NC(CC3CCNC3=O)C=O)C(=O)OCC4=CC=CC=C4,360.0
CC(C)(C)NC(=O)C(=O)C(CC1CCNC1=O)NC(=O)C(CC2CCCCC2)NC(=O)C(CC3=CC=CC4=CC=CC=C43)NC(=O)OCC5=CC=C(C=C5)OCN6CCOCC6,6.6
CC(C)CC(C(=O)NC(CC1CCNC1=O)C(=O)C(=O)NC(C)C)NC(=O)C(C(C)OC)NC(=O)OCC2=CC=CC=C2,6.8
CCC1=CC=CC=C1NC(=O)CSC(=O)NNC(=O)C(CC2=CNC3=CC=CC=C32)NC(=O)OC(C)(C)C,6.9
CC(C)(C)CC(C(=O)NC(CC1CCNC1=O)C(=O)CO)NC(=O)C2=CC3=C(N2)C=CC=C3OC,7.0
CC(C)CC(C(=O)NC(CC1CCNC1=O)C(=O)C(=O)NC(C)C)NC(=O)C(CN2CCC(CC2)F)NC(=O)OCC3=CC=CC=C3,7.0
CC(C)CC(C(=O)NC(CC1CCNC1=O)C(=O)C(=O)NC(C)(C)C)NC(=O)C(CN(C)C)NC(=O)OCC2=CC=CC=C2,7.0
CC(C)CC(C(=O)NC(CC1CCNC1=O)C(=O)C(=O)NC(C)C)NC(=O)C(CN2CCOCC2)NC(=O)OCC3=CC=CC=C3,7.0
CC(C)CC(C(=O)NC(CC1CCNC1=O)C=O)NC(=O)OCC2CCC(CC2)(F)F,480.0
CC(C)CC(C(=O)NC(CC1CCNC1=O)C(=O)C(=O)N(C)C)NC(=O)C(C(C)C)NC(=O)OCC2=CC=CC=C2,65.0
CC1(C2C1C(N(C2)C(=O)C(CC3CCC3)NC(=O)C(F)(F)F)C(=O)NC(CC4CCNC4=O)C#N)C,7.0
CC1(C2C1C(N(C2)C(=O)C(C(C)(C)C)NC(=O)COC3=CC=C(C=C3)F)C(=O)NC(CC4CCNC4=O)C#N)C,7.0
CC(C)CC(C(=O)NN(CCC(=O)N)C(=O)CCl)NC(=O)OC1=CC2=CC=CC=C2N1,50.0
CC(C)CC(C(=O)NN(CCC(=O)N)C(=O)CCl)N(C)C(=O)C1=CC2=CC=CC=C2N1,7.0
CC(C)CC(C(=O)NN(CCC(=O)N)C(=O)C(F)Cl)NC(=O)C1=CC2=C(N1)C=CC(=C2)Cl,7.0
CC(C)CC(C(=O)NN(CCC(=O)N)C(=O)C(F)Cl)NC(=O)C1=NC2=CC=CC=C2N1,7.0
CC1=CN=CC(=C1C(=O)OCC(=O)C(CC2CCNC2=O)NC(=O)C(CC(C)C)NC(=O)C3=CC4=C(N3)C=CC=C4OC)C,7.56
C1CC2CN(C(C2C1)C(=O)NC(CC3CCNC3=O)C=O)C(=O)CCC4=CC(=CC=C4)F,7.6
C1CC2CN(C(C2C1)C(=O)NC(CC3CCNC3=O)C=O)C(=O)CCC4=CC(=CC(=C4)F)F,7.6
C1CC2CN(C(C2C1)C(=O)NC(CC3CCNC3=O)C=O)C(=O)CCC4=CC(=CC=C4)F,7.6
C1CC2CN(C(C2C1)C(=O)NC(CC3CCNC3=O)C=O)C(=O)CCC4=CC(=CC(=C4)F)F,7.6
CC1=CC(=CC(=C1CC(=O)OCC(=O)C(CC2CCNC2=O)NC(=O)C(CC(C)C)NC(=O)C3=CC4=C(N3)C=CC=C4OC)C)C#N,7.67
CCC(CC(=O)NC(CC(C)(C)C)C(=O)NC(CC1CCNC1=O)C(=O)C(=O)NC2CC2)C3=CC=CC=C3,7.9
CC(C)(C)CC(C(=O)NC(CC1CCNC1=O)C(=O)C(=O)N)NC(=O)C=CC2=C(C=C(C=C2)Cl)Cl,7.9
CC(C)(C)CC(C(=O)NC(CC1CCNC1=O)C(=O)C(=O)NC2CC2)NC(=O)C=CC3=C(C=C(C=C3)Cl)F,7.94
